category,contents,language,lectureLink,lectureName,lecturer,level,numOfLectures,price,rating,siteIdx,subCategory,thumbnail,totalDuration,type
,"프레젠테이션 만들기 및 관리,프레젠테이션 만들기 및 관리,프레젠테이션 만들기 및 관리,텍스트, 도형, 그림 삽입 및 서식,텍스트, 도형, 그림 삽입 및 서식,텍스트, 도형, 그림 삽입 및 서식,표, 차트, SmartArt 및 미디어 삽입,표, 차트, SmartArt 및 미디어 삽입,전환 및 애니메이션,다중 프레젠테이션 관리,MOS 파워포인트 시험 해설 1-1,MOS 파워포인트 시험 해설 1-2,MOS 파워포인트 시험 해설 2,MOS 파워포인트 시험 해설 3,통합 문서 옵션 및 설정,통합 문서 옵션 및 설정,사용자 지정 서식 및 레이아웃 적용하기,사용자 지정 서식 및 레이아웃 적용하기,사용자 지정 서식 및 레이아웃 적용하기,수식 작성1,수식 작성2,수식 작성2,고급 수식 작성,고급 수식 작성,고급 수식 작성,고급 수식 작성,고급 수식 작성,고급 수식 작성,고급 수식 작성,고급 차트 및 피벗 테이블 작성,고급 차트 및 피벗 테이블 작성,MOS 파워포인트 문제 해설,MOS 파워포인트 문제 해설",ko,http://www.kocw.net/home/cview.do?cid=476757fbbe5f464f,"MOS(파워포인트, 엑셀)",강신심,,33,0,3.8,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1351878.jpg,unknown,on
,"소프트웨어 이해,일상에서 사용되는 소프트웨어,운영체제의 이해 및 작동,운영체제 구성 및 관련기술,웹 브라우저의 이해,웹 브라우저 관련 기술,데이터 관리 방법,데이터 관련 용어 이해,소프트웨어 교육,언플러그드(unplugged) 교육,컴파일러와 프로그래밍 언어,프로그래밍 개발 도구",ko,http://www.kocw.net/home/cview.do?cid=5fb56c4533f7798e,생활속의 SW기술,최창민,,12,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1351775.jpg,unknown,on
,"강의 소개 및
자바 소개,프로그래밍 기초,자바 설치,Eclipse 사용법,변수
선언과 할당,변수,변수,변수,변수,변수,변수,산술 연산자
비교 연산자
논리 연산자,조건 연산자,연산자,조건문,조건문,조건문,반복문
for
while,for
while
break
continue,for
while
break
continue,조건문 반복문 요약,조건문 반복문 응용,조건문 반복문 응용,조건문 반복문 응용,조건문 반복문 응용,조건문 반복문 응용,입력문,입력문",ko,http://www.kocw.net/home/cview.do?cid=abb3f94415cbff41,프로그래밍 기초,이동현,,28,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1351017.jpg,unknown,on
,"강의 소개 및,파이썬 소개,프로그래밍 기초,파이썬 설치,파이썬 화면
Jupyter notebook 사용법,변수
선언과 할당,변수,변수,변수,변수,변수,변수,산술 연산자
비교 연산자
논리 연산자
멤버 연산자,산술 연산자
비교 연산자
논리 연산자
멤버 연산자,조건문
if
else
else if,조건문
if
else
else if,반복문
for
while
repeat,for
while
break
continue
pass,for
while
break
continue
pass,조건문 반복문 요약,조건문 반복문 응용,조건문 반복문 응용,조건문 반복문 응용,함수,함수
함수 응용,함수 응용,Numpy,Numpy,Pandas",ko,http://www.kocw.net/home/cview.do?cid=3aeee0aa8ad8e840,파이썬 프로그래밍,이동현,,29,0,4.2,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1350990.jpg,unknown,on
,"강의소개, circuitmod를 사용한 논리게이트 구성,로지심에서 반가산기, 전가산기, 4비트 덧셈기 구성,논리게이트를 이용하여 래치, D 플립플롭, 레지스터 구성,멀티플렉서를 구성하고 그를 이용하여 논리유닛, 쉬프터 구성,멀티플렉서와 전가산기를 이용하여 산술유닛 구성, 그 후 논리유닛 쉬프터와 함께 ALU 구성,디코더, JK/T 플립플롭, 카운터 구성,레지스터, 멀티플렉서, ALU를 연결하여 전체 CPU 데이터 경로 구성, 마이크로 연산 확인,마이크로 연산 별 제어 워드 확인, SRAM, DRAM 예제 확인,입출력만 정의한 제어유닛 구성, 기존 데이터 경로에 추가,인출 사이클을 수행하는 제어 유닛 구성,LDA, ADD, STR, JMP 네 명령을 실행시킬 수 있는 제어 유닛 구성(1),LDA, ADD, STR, JMP 네 명령을 실행시킬 수 있는 제어 유닛 구성(2),모든 명령을 실행시킬 수 있는 제어유닛을 갖춘 완성된 8bit CPU에서의 어셈블리 언어 프로그래밍, 핸드 어셈블",ko,http://www.kocw.net/home/cview.do?cid=3d4a672520347b99,컴퓨터 구조,김경철,,13,0,3,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1350976.jpg,unknown,on
,"키프레임, 계층구조, 로봇팔, 벌레, 로봇관절세팅,스킨, 벌레 리깅 및 애니메이션, 4족 로봇 세팅,바이패드, 리깅,뛰기, 걷기,텀블링, 무기 세팅, 한손 무기 공격,한손 무기 공격, 양손무기 공격,이동,모션플로우 모드, 믹스 모드,딱딱한 물체,딱딱한 물체, 천 재질,  회전 구속,경칩구속, 천, 선 구속, 연결 구속,파티클 플로우, 머리카락&털,바이패드, 리깅",ko,http://www.kocw.net/home/cview.do?cid=79510134e48a2fb9,3D애니메이션1,김현,,13,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1350651.jpg,unknown,on
,,ko,http://www.kocw.net/home/cview.do?cid=ce8ea1123870b331,로봇 프로그래밍,최진호,,0,0,0,15,,http://www.kocw.net/home/images/common/noImg.gif,unknown,on
,"AWGN 환경에서의 기저대역 통신, integrate and dump 수신기,임의 파형에서의 이진 데이터 전송, 최적 수신기,정합필터의 구조와 원리,정팔필터의 오류 확률,동기식 전송의 오류확률, ASK 방식,동기식 전송의 오류확률, FSK 방식,동기식 전송의 오류확률, BPSK 방식,M-ary 통신, QPSK 구조,QPSK 성능, DPSK 통신,정보의 정의, 엔트로피, 이산채널 모델, 채널 용량",ko,http://www.kocw.net/home/cview.do?cid=247570a7c9baa5fc,디지털통신이론,강병권,,10,0,0,15,,http://www.kocw.net/home/images/common/noImg.gif,unknown,on
,"인공지능, 새로운 사물인터넷 환경 등의 도래에 따른 새로운 마케팅 기법 및 사례 소개,빅데이터 등 데이터 기반 마케팅 활동을 파악하여 새로운 소비자의 소구점과 유형을 분석하는 방법,다양한 기술이 조합하여 새로운 소비자 행동을 파악하거나 구매를 촉진시키는 마케팅의 트랜스포메이션,공학적 지식에 문외한인 법학자와 법률가에 의해 사회의 신기술이 매장당거나 난도질당해 실제 기술로 인한 사회혁신이 저지당하는 사례 소개,인공지능으로 새로운 분류를 발견하고 기계학습으로 새로운 패턴을 찾아 전에 없던 챗봇 마케팅 등의 등장과 사례,시나리오 기반의 디지털 콘텐츠 전략 및 창작, 공유, 개방의 선순환,이미지, 비디오, 소셜 네트워크 그리고 자연어처리 기반의 콘텐츠 마케팅 기법에 대한 설명,자연어 처리 기술을 기반으로 한 검색 및 추천 시스템 등에 대한 강의,인공지능 기술 중 딥러닝을 이용한 마케팅 방법에 대한 강의",ko,http://www.kocw.net/home/cview.do?cid=da40b0458b02400f,디지털 마케팅,강장묵,,9,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1349293.jpg,unknown,on
,"1. 비트전송율
2. 비트오류확률
3. 디지털변복조 개념,1. 데이터전송속도 증가 방법
2. 전력 및 대역폭 제한
3. 베이스밴드 및 패스밴드 통신,1. 분석 신호 
2. 패스밴드 신호의 동등 저주파신호 표기 법
3. 주파수대역에서의 저주파신호 표기법,1. 벡터공간
2. 신호공간
3. 그람-쉬미트 기법,1. 직교 신호
2. 신호의 차원
3. 가중치된 직교신호의 합,1. 변조 신호의 벡터 형태 표현
2. 평균 심볼 에너지,1. 디지털 수신기 기초
2. 펄스진폭변조기법,1. PAM 변조
2. PSK 변조
3. QAM 변조,1. 하다마드코드
2. 다중접속
3. 주파수변조,1. 변조 복습
2. 가우시안백색잡음
3. 채널,1. 랜덤프로세스 정의
2. 자기상관함수
3. 가우신안 랜덤프로세스,1. 상관관계
2. 복조
3. 최대사후확률 결정법,1. 최대 사후확률 결정
2. 유사함수 및 비율
3. 최대유사 결정,1. 오류 이벤트
2. 심볼오류확률
3. 성능비교,1. FSK의 오류이벤트
2. FSK의 심볼오류확률
3. FSK의 심볼오류확률 근사값,1. 정합필터
2. 코시-쉬왈즈 부등식
3. 대역 제한 채널,1. 심볼간 간섭 채널
2. 심볼간 무간섭 조건
3. 나이퀴스트 펄스,1. 싱크 펄스
2. 상승코사인펄스
3. 롤오프 인자,1. 시퀀스 검출
2. 최대 가능도 시퀀스검출
3. 비터비 알고리즘",ko,http://www.kocw.net/home/cview.do?cid=de0a666ac6f8f072,디지털통신,고영채,,19,0,5,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1349261.jpg,unknown,on
,"운영체제 정의, 컴퓨터란, ISA, API, 컴퓨터구조 기본 용어, 기계어, 컴퓨터 역사, 튜링 머신,Batch 시스템, multiprogramming/multitasking, Time sharing system, 프로세스, 가상 메모리, 변수의 life와 scope, local 변수, global 변수, context switching,process control block, context, 프로세스의 생성과 소멸, 프로세스 그래프, 프로세스 상태,Exception과 Interrupt 어떻게 다른가, Exception의 종류, 인터럽트의 종류, 쓰레드란, 프로세스와의 차이, 멀티쓰레딩의 장점,사용자 수준 쓰레드, 커널 쓰레드, 두 방식의 장단점, 멀티코어와 쓰레드,프로세스 사이의 경쟁과 협력, mutual exclusion, critical section, race condition, deadlock, starvation, atomic instruction, semaphore,semaphore 예제, 세마포어, 모니터, 메시지를 이용한 상호 배제 구현,메시지 예제, 데드락 정의, 데드락 조건, 데드락의 세 가지 해결 방안,데드락 방지, 회피, 감지 알고리즘들,signal 개념, 예제, 메모리 관리, static and dynamic partitioning,placement 알고리즘, 버디 시스템, 페이징, 세그멘테이션,캐시의 3가지 구조, locality principle, 캐시 미스의 종류,가상 메모리와 물리적 메모리, 가상 주소와 물리적 주소, 페이지 테이블, TLB,TLB 구조, 페이지 테이블 엔트리, segmentation, 페이지 교체 알고리즘,Working set 개념,,단기, 중기, 장기 스케줄링, CPU 스케줄링 알고리즘들,fair share scheduling, 멀티프로세서 종류,병령성 granularity, 쓰레드 스케줄링 알고리즘,실시간 태스크 종류,,데드라인 스케줄링, 화상 탐사선에서의 실시간 스케줄링 문제,자기 디스크 구조, 디스크 액세스 타임, 디스크 스케줄링 알고리즘, RAID,파일 구조, 레코드 블로킹, 파일 할당 방법",ko,http://www.kocw.net/home/cview.do?cid=5e94ceee75415112,운영체제,최린,,22,0,5,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1349238.jpg,unknown,on
,"컴퓨터 세대의 발전, 인터넷의 진화, IoT의 정의, IoT와 관련된 용어, 무선 센서 네트워크 개요,Device에서 네트워크, 게이트웨이, 클라우드, 플랫폼에 이르기까지 IoT를 구성하는 요소들, 표준 설명, IoT 응용,MAC이란, hidden node and exposed node problem, DCF, PCF, interframe spacing, slot time, WPAN, 블루투스, Zigbee,에너지 낭비 원인들, 에너지 소비 측면에서의 통신과 계산, 센서 네트워크 MAC 프로토콜, S-MAC, Preamble Sampling, A-MAC, Wakeup Scheduling 알고리즘, DMAC, SPEEDMAC,클록 모델, 동기 오차 원인들, NTP, Remote Clock Reading, Offset Delay Estimation, WSN 클록 동기 알고리즘들, WSN 라우팅 알고리즘,Distance Vector 라우팅, Link State 프로토콜, Proactive 라우팅, Reactive 라우팅, Hybrid 프로토콜,딥러닝 개요, 역사, 지도 학습, 비지도학습, 강화학습, CNN",ko,http://www.kocw.net/home/cview.do?cid=3358ad1ba29ac899,유비쿼터스네트워크,최린,,7,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1349230.jpg,unknown,on
,"신호 분류법과 delta함수등을 포함한 다양한 특수 신호 함수에 대해 학습한다.,시스템의 정의와 LTI 시스템에 대한 이해, 그리고 신호의 직교성에 대하여 학습한다.,주기함수를 퓨리에 급수로 표현할 수 있으며 각 퓨리에 함수는 직교 함수로 구성되어 있음을 이해한다.,퓨리에 급수로부터 퓨리에 변환을 유도하여 비주기함수에서의 주파수 특성을 파악할 수 있음을 이해한다.,퓨리에 변환에서 다양한 특성을 이해하고 이를 통하여 특수 함수들의 퓨리에 변환을 유도한다.,신호의 주파수 대역폭과 전력의 계산 방법을 이해하고 주파수 분할을 통한 다중 통신에 대하여 학습한다.,AM 변조 방법과 복조 방법을 이해하고 주파수 효율성을 높이기 위한 SSB 변복조 방법을 학습한다.,주파수 효율성을 높이기 위한 변조 방식으로 QM 방식을 이해하고 Frequency modulation에 대한 전송 기법을 이해한다.,FM신호의 전송 방법과 복조 방법을 이해학고 FM신호의 대역폭을 학습한다.,확률의 공리적 정의와 Bayes' 법칙에 대하여 학습한다.,랜덤변수의 정의와 다양한 확률밀도함수를 학습한다.,랜덤변수를 다른 랜덤변수로 변형할때 변형된 랜덤변수의 확률밀도함수를 구하는 법을 학습한다.,랜덤프로세스의 정의와 자기상관관계함수를 학습한다.,나이키스트 샘플링 이론과 디지털로 변환하기 위한 양자화에 대하여 이해한다.",ko,http://www.kocw.net/home/cview.do?cid=82fb4affddf90875,통신이론,고영채,,14,0,5,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1349189.jpg,unknown,on
